[2017-Aug-18 00:00:23.506455] 	 open 2

[2017-Aug-18 00:00:23.507130] 	 open 

[2017-Aug-18 00:00:23.507287] 	 Send: INPut:STARt

[2017-Aug-18 00:00:23.641112] 	 Receive: 0


[2017-Aug-18 00:00:24.141473] 	 Send: TABLe:COUPled OFF


[2017-Aug-18 00:00:24.162282] 	 Receive: 0


[2017-Aug-18 00:00:24.162474] 	 Send: GPRF


[2017-Aug-18 00:00:24.183134] 	 Receive: 0


[2017-Aug-18 00:00:24.183324] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-18 00:00:24.207632] 	 Receive: 0


[2017-Aug-18 00:00:24.208084] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-18 00:00:24.228881] 	 Receive: 0


[2017-Aug-18 00:00:24.229076] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-18 00:00:24.229076] 	 Send: CONFigure:GPRF:SPE[2017-Aug-18 00:00:24.249728] 	 Receive: 0


[2017-Aug-18 00:00:24.249914] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-18 00:00:24.270689] 	 Receive: 5


[2017-Aug-18 00:00:24.270945] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-18 00:00:24.291744] 	 Receive: 0


[2017-Aug-18 00:00:24.292072] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-18 00[2017-Aug-18 00:00:24.312918] 	 Receive: 0


[2017-Aug-18 00:00:24.313113] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-18 00:00:24.333757] 	 Receive: 0


[2017-Aug-18 00:00:24.333949] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-18 00:00:24.354756] 	 Receive: 0


[2017-Aug-18 00:00:24.355492] 	 Send: INPut:STARt


[2017-Aug-18 00:00:24.376493] 	 Receive: 0


[2017-Aug-18 00:00:24.376688] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-18 00:00:24.397289] 	 Receive: 0


[2017-Aug-18 00:00:24.397504] 	 Send: OUTPut:STOP


[2017-Aug-18 00:00:24.418261] 	 Receive: 0


[2017-Aug-18 00:00:24.418449] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-18 00:00:24.439291] 	 Receive: 0


