[2017-Aug-15 03:56:57.043988] 	 open 2

[2017-Aug-15 03:56:57.044990] 	 open 

[2017-Aug-15 03:56:57.045170] 	 Send: INPut:STARt

[2017-Aug-15 03:56:57.212358] 	 Receive: 0

[2017-Aug-15 03:56:57.713740] 	 Send: TABLe:COUPled OFF


[2017-Aug-15 03:56:57.717501] 	 Receive: 0

[2017-Aug-15 03:56:57.718200] 	 Send: GPRF


[2017-Aug-15 03:56:57.800713] 	 Receive: 0

[2017-Aug-15 03:56:57.801323] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-15 03:56:57.811144] 	 Receive: 0

[2017-Aug-15 03:56:57.811493] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-15 03:56:57.813918] 	 Receive: 0

[2017-Aug-15 03:56:57.814187] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-15 03:56:57.814187] 	 Send: CONFigure:GPRF:SPE[2017-Aug-15 03:56:57.815426] 	 Receive: 0

[2017-Aug-15 03:56:57.815773] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-15 03:56:57.817438] 	 Receive: 5

[2017-Aug-15 03:56:57.817815] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-15 03:56:57.820056] 	 Receive: 0

[2017-Aug-15 03:56:57.820477] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-15 03[2017-Aug-15 03:56:57.826832] 	 Receive: 0

[2017-Aug-15 03:56:57.827112] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-15 03:56:57.831455] 	 Receive: 0

[2017-Aug-15 03:56:57.831767] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-15 03:56:57.834749] 	 Receive: 0

[2017-Aug-15 03:56:57.835055] 	 Send: INPut:STARt


[2017-Aug-15 03:56:57.836189] 	 Receive: 0

[2017-Aug-15 03:56:57.836374] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-15 03:56:57.838335] 	 Receive: 0

[2017-Aug-15 03:56:57.838524] 	 Send: OUTPut:STOP


[2017-Aug-15 03:56:57.842235] 	 Receive: 0

[2017-Aug-15 03:56:57.842398] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-15 03:56:57.845605] 	 Receive: 0

[2017-Aug-15 03:56:57.845797] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-15 03:56:57.847999] 	 Receive: 0

[2017-Aug-15 03:56:57.848156] 	 Send: CONFigure:RFCorrection:DISTribution OFF
