[2017-Aug-17 02:18:08.457718] 	 open 2

[2017-Aug-17 02:18:08.458598] 	 open 

[2017-Aug-17 02:18:08.458758] 	 Send: INPut:STARt

[2017-Aug-17 02:18:08.538418] 	 Receive: 0

[2017-Aug-17 02:18:09.038767] 	 Send: TABLe:COUPled OFF


[2017-Aug-17 02:18:09.059468] 	 Receive: 0

[2017-Aug-17 02:18:09.059684] 	 Send: GPRF


[2017-Aug-17 02:18:09.182770] 	 Receive: 0

[2017-Aug-17 02:18:09.183057] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-17 02:18:09.206573] 	 Receive: 0

[2017-Aug-17 02:18:09.206770] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-17 02:18:09.227458] 	 Receive: 0

[2017-Aug-17 02:18:09.227688] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-17 02:18:09.227688] 	 Send: CONFigure:GPRF:SPE[2017-Aug-17 02:18:09.248426] 	 Receive: 0

[2017-Aug-17 02:18:09.248848] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-17 02:18:09.269539] 	 Receive: 5

[2017-Aug-17 02:18:09.269752] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-17 02:18:09.290378] 	 Receive: 0

[2017-Aug-17 02:18:09.290582] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-17 02[2017-Aug-17 02:18:09.311467] 	 Receive: 0

[2017-Aug-17 02:18:09.311703] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-17 02:18:09.332487] 	 Receive: 0

[2017-Aug-17 02:18:09.332916] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-17 02:18:09.353657] 	 Receive: 0

[2017-Aug-17 02:18:09.353860] 	 Send: INPut:STARt


[2017-Aug-17 02:18:09.374458] 	 Receive: 0

[2017-Aug-17 02:18:09.374652] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-17 02:18:09.395805] 	 Receive: 0

[2017-Aug-17 02:18:09.396532] 	 Send: OUTPut:STOP


[2017-Aug-17 02:18:09.417666] 	 Receive: 0

[2017-Aug-17 02:18:09.417864] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-17 02:18:09.438424] 	 Receive: 0

[2017-Aug-17 02:18:09.438621] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-17 02:18:09.459354] 	 Receive: 0

[2017-Aug-17 02:18:09.459603] 	 Send: CONFigure:RFCorrection:DISTribution OFF
[20[2017-Aug-17 02:18:09.480712] 	 Receive: 0

[2017-Aug-17 02:18:09.480988] 	 Send: TABLe:LOSS:PORT1:TX:LOAD 


[2017-Aug-17 02:18:09.501754] 	 Receive: 0

[2017-Aug-17 02:18:09.501944] 	 Send: TABLe:LOSS:PORT1:RX:LOAD 


[2017-Aug-17 02:18:09.522669] 	 Receive: 0

[2017-Aug-17 02:18:09.522867] 	 Send: TABLe:LOSS:PORT2:TX:LOAD 


[2017-Aug-17 02:18:09.543529] 	 Receive: 0

[2017-Aug-17 02:18:09.544033] 	 Send: TABLe:LOSS:PORT2:RX:LOAD 


[2017-Aug-17 02:18:09.564734] 	 Receive: 0

[2017-Aug-17 02:18:09.564940] 	 Send: TABLe:LOSS:PORT3:TX:LOAD 


[2017-Aug-17 02:18:09.585506] 	 Receive: 0

[2017-Aug-17 02:18:09.585687] 	 Send: TABLe:LOSS:PORT3:RX:LOAD 


[2017-Aug-17 02:18:09.606278] 	 Receive: 0

[2017-Aug-17 02:18:09.606480] 	 Send: TABLe:LOSS:PORT4:TX:LOAD 


[2017-Aug-17 02:18:09.627218] 	 Receive: 0

[2017-Aug-17 02:18:09.627628] 	 Send: TABLe:LOSS:PORT4:RX:LOAD 


[2017-Aug-17 02:18:09.648456] 	 Receive: 0

[2017-Aug-17 02:18:09.648661] 	 Send: INPut:GPRF:MARKer:CLEar


[2017-Aug-17 02:18:09.669236] 	 Receive: 0

[2017-Aug-17 02:18:09.669412] 	 Send: INPut:MARKer:FIG4:CLEar


[2017-Aug-17 02:18:09.690039] 	 Receive: 0

[2017-Aug-17 02:18:09.690244] 	 Send: TABLe:DELete TX_Port_1


[2017-Aug-17 02:18:09.710876] 	 Receive: 0

[2017-Aug-17 02:18:09.711061] 	 Send: TABLe:DELete RX_Port_1


[2017-Aug-17 02:18:09.731818] 	 Receive: 0

[2017-Aug-17 02:18:09.732016] 	 Send: TABLe:DELete TX_Port_2


[2017-Aug-17 02:18:09.752592] 	 Receive: 0

[2017-Aug-17 02:18:09.752774] 	 Send: TABLe:DELete RX_Port_2


[2017-Aug-17 02:18:09.773406] 	 Receive: 0

[2017-Aug-17 02:18:09.773603] 	 Send: TABLe:DELete TX_Port_3


[2017-Aug-17 02:18:09.794232] 	 Receive: 0

[2017-Aug-17 02:18:09.794565] 	 Send: TABLe:DELete RX_Port_3


[2017-Aug-17 02:18:09.815319] 	 Receive: 0

[2017-Aug-17 02:18:09.815513] 	 Send: TABLe:DELete TX_Port_4


[2017-Aug-17 02:18:09.836147] 	 Receive: 0

[2017-Aug-17 02:18:09.836419] 	 Send: TABLe:DELete RX_Port_4


[2017-Aug-17 02:18:09.857025] 	 Receive: 0

[2017-Aug-17 02:18:09.857227] 	 Send: TABLe:CLEar


[2017-Aug-17 02:18:09.877908] 	 Receive: 0

[2017-Aug-17 02:18:09.878224] 	 Send: TABLe TX_Port_1


[2017-Aug-17 02:18:09.898934] 	 Receive: 0

[2017-Aug-17 02:18:09.899121] 	 Send: TABLe:POINt:INSert 2400.00MHz,8.89


[2017-Aug-17 02:18:09.919741] 	 Receive: 0

[2017-Aug-17 02:18:09.919956] 	 Send: TABLe:POINt:INSert 2410.00MHz,8.90


[2017-Aug-17 02:18:09.940527] 	 Receive: 0

[2017-Aug-17 02:18:09.940720] 	 Send: TABLe:POINt:INSert 2420.00MHz,8.77


[2017-Aug-17 02:18:09.961478] 	 Receive: 0

[2017-Aug-17 02:18:09.962470] 	 Send: TABLe:POINt:INSert 2430.00MHz,8.90


[2017-Aug-17 02:18:09.983471] 	 Receive: 0

[2017-Aug-17 02:18:09.983680] 	 Send: TABLe:POINt:INSert 2440.00MHz,8.83


[2017-Aug-17 02:18:10.004280] 	 Receive: 0

[2017-Aug-17 02:18:10.004483] 	 Send: TABLe:POINt:INSert 2450.00MHz,8.90


[2017-Aug-17 02:18:10.025030] 	 Receive: 0

[2017-Aug-17 02:18:10.025271] 	 Send: TABLe:POINt:INSert 2460.00MHz,8.83


[2017-Aug-17 02:18:10.045825] 	 Receive: 0

[2017-Aug-17 02:18:10.046025] 	 Send: TABLe:POINt:INSert 2470.00MHz,8.86


