[2017-Aug-15 04:25:25.451019] 	 open 2

[2017-Aug-15 04:25:25.452235] 	 open 

[2017-Aug-15 04:25:25.452414] 	 Send: INPut:STARt

[2017-Aug-15 04:25:25.535846] 	 Receive: 0

[2017-Aug-15 04:25:26.037903] 	 Send: TABLe:COUPled OFF


[2017-Aug-15 04:25:26.041125] 	 Receive: 0

[2017-Aug-15 04:25:26.042192] 	 Send: GPRF


[2017-Aug-15 04:25:26.074592] 	 Receive: 0

[2017-Aug-15 04:25:26.075555] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-15 04:25:26.084219] 	 Receive: 0

[2017-Aug-15 04:25:26.084826] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-15 04:25:26.086353] 	 Receive: 0

[2017-Aug-15 04:25:26.086810] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-15 04:25:26.086810] 	 Send: CONFigure:GPRF:SPE[2017-Aug-15 04:25:26.088362] 	 Receive: 0

[2017-Aug-15 04:25:26.088812] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-15 04:25:26.090845] 	 Receive: 5

[2017-Aug-15 04:25:26.091328] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-15 04:25:26.095324] 	 Receive: 0

[2017-Aug-15 04:25:26.096018] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-15 04[2017-Aug-15 04:25:26.103070] 	 Receive: 0

[2017-Aug-15 04:25:26.103778] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-15 04:25:26.108963] 	 Receive: 0

[2017-Aug-15 04:25:26.109552] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-15 04:25:26.111376] 	 Receive: 0

[2017-Aug-15 04:25:26.111991] 	 Send: INPut:STARt


[2017-Aug-15 04:25:26.114385] 	 Receive: 0

[2017-Aug-15 04:25:26.114582] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-15 04:25:26.116053] 	 Receive: 0

[2017-Aug-15 04:25:26.116243] 	 Send: OUTPut:STOP


[2017-Aug-15 04:25:26.119180] 	 Receive: 0

[2017-Aug-15 04:25:26.119418] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-15 04:25:26.121672] 	 Receive: 0

[2017-Aug-15 04:25:26.122012] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-15 04:25:26.123904] 	 Receive: 0

[2017-Aug-15 04:25:26.124176] 	 Send: CONFigure:RFCorrection:DISTribution OFF
[20[2017-Aug-15 04:25:26.126039] 	 Receive: 0

[2017-Aug-15 04:25:26.126236] 	 Send: TABLe:LOSS:PORT1:TX:LOAD 


[2017-Aug-15 04:25:26.127651] 	 Receive: 0

[2017-Aug-15 04:25:26.127911] 	 Send: TABLe:LOSS:PORT1:RX:LOAD 


[2017-Aug-15 04:25:26.129608] 	 Receive: 0

[2017-Aug-15 04:25:26.129827] 	 Send: TABLe:LOSS:PORT2:TX:LOAD 


[2017-Aug-15 04:25:26.131717] 	 Receive: 0

[2017-Aug-15 04:25:26.131955] 	 Send: TABLe:LOSS:PORT2:RX:LOAD 


[2017-Aug-15 04:25:26.133646] 	 Receive: 0

[2017-Aug-15 04:25:26.134361] 	 Send: TABLe:LOSS:PORT3:TX:LOAD 


