[2017-Aug-17 02:17:11.738405] 	 open 2

[2017-Aug-17 02:17:11.738898] 	 open 

[2017-Aug-17 02:17:11.739082] 	 Send: INPut:STARt

[2017-Aug-17 02:17:16.746328] 	 Receive: 0

[2017-Aug-17 02:17:17.246867] 	 Send: TABLe:COUPled OFF


[2017-Aug-17 02:17:17.267544] 	 Receive: 0

[2017-Aug-17 02:17:17.267753] 	 Send: GPRF


[2017-Aug-17 02:17:17.325204] 	 Receive: 0

[2017-Aug-17 02:17:17.325408] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-17 02:17:17.348365] 	 Receive: 0

[2017-Aug-17 02:17:17.348535] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-17 02:17:17.369102] 	 Receive: 0

[2017-Aug-17 02:17:17.369284] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-17 02:17:17.369284] 	 Send: CONFigure:GPRF:SPE[2017-Aug-17 02:17:17.389848] 	 Receive: 0

[2017-Aug-17 02:17:17.390033] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-17 02:17:17.410607] 	 Receive: 5

[2017-Aug-17 02:17:17.410784] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-17 02:17:17.431353] 	 Receive: 0

[2017-Aug-17 02:17:17.431526] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-17 02[2017-Aug-17 02:17:17.452092] 	 Receive: 0

[2017-Aug-17 02:17:17.452264] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-17 02:17:17.472819] 	 Receive: 0

[2017-Aug-17 02:17:17.473009] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-17 02:17:17.493582] 	 Receive: 0

[2017-Aug-17 02:17:17.493756] 	 Send: INPut:STARt


[2017-Aug-17 02:17:17.514346] 	 Receive: 0

[2017-Aug-17 02:17:17.514526] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-17 02:17:17.535096] 	 Receive: 0

[2017-Aug-17 02:17:17.535265] 	 Send: OUTPut:STOP


[2017-Aug-17 02:17:17.555832] 	 Receive: 0

[2017-Aug-17 02:17:17.556008] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-17 02:17:17.576564] 	 Receive: 0

[2017-Aug-17 02:17:17.576809] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-17 02:17:17.597393] 	 Receive: 0

[2017-Aug-17 02:17:17.597577] 	 Send: CONFigure:RFCorrection:DISTribution OFF
[20[2017-Aug-17 02:17:17.618161] 	 Receive: 0

[2017-Aug-17 02:17:17.618332] 	 Send: TABLe:LOSS:PORT1:TX:LOAD 


[2017-Aug-17 02:17:17.638936] 	 Receive: 0

[2017-Aug-17 02:17:17.639249] 	 Send: TABLe:LOSS:PORT1:RX:LOAD 


[2017-Aug-17 02:17:17.659787] 	 Receive: 0

[2017-Aug-17 02:17:17.659952] 	 Send: TABLe:LOSS:PORT2:TX:LOAD 


[2017-Aug-17 02:17:17.680542] 	 Receive: 0

[2017-Aug-17 02:17:17.680739] 	 Send: TABLe:LOSS:PORT2:RX:LOAD 


[2017-Aug-17 02:17:17.701376] 	 Receive: 0

[2017-Aug-17 02:17:17.701558] 	 Send: TABLe:LOSS:PORT3:TX:LOAD 


[2017-Aug-17 02:17:17.722189] 	 Receive: 0

[2017-Aug-17 02:17:17.722503] 	 Send: TABLe:LOSS:PORT3:RX:LOAD 


[2017-Aug-17 02:17:17.743122] 	 Receive: 0

[2017-Aug-17 02:17:17.743291] 	 Send: TABLe:LOSS:PORT4:TX:LOAD 


[2017-Aug-17 02:17:17.763863] 	 Receive: 0

[2017-Aug-17 02:17:17.764035] 	 Send: TABLe:LOSS:PORT4:RX:LOAD 


[2017-Aug-17 02:17:17.784646] 	 Receive: 0

[2017-Aug-17 02:17:17.784868] 	 Send: INPut:GPRF:MARKer:CLEar


[2017-Aug-17 02:17:17.805566] 	 Receive: 0

[2017-Aug-17 02:17:17.806070] 	 Send: INPut:MARKer:FIG4:CLEar


[2017-Aug-17 02:17:17.826622] 	 Receive: 0

[2017-Aug-17 02:17:17.826801] 	 Send: TABLe:DELete TX_Port_1


[2017-Aug-17 02:17:17.847399] 	 Receive: 0

[2017-Aug-17 02:17:17.847581] 	 Send: TABLe:DELete RX_Port_1


[2017-Aug-17 02:17:17.868171] 	 Receive: 0

[2017-Aug-17 02:17:17.868346] 	 Send: TABLe:DELete TX_Port_2


[2017-Aug-17 02:17:17.889087] 	 Receive: 0

[2017-Aug-17 02:17:17.889287] 	 Send: TABLe:DELete RX_Port_2


[2017-Aug-17 02:17:17.909785] 	 Receive: 0

[2017-Aug-17 02:17:17.909965] 	 Send: TABLe:DELete TX_Port_3


[2017-Aug-17 02:17:17.930504] 	 Receive: 0

[2017-Aug-17 02:17:17.930677] 	 Send: TABLe:DELete RX_Port_3


[2017-Aug-17 02:17:17.951246] 	 Receive: 0

[2017-Aug-17 02:17:17.951417] 	 Send: TABLe:DELete TX_Port_4


[2017-Aug-17 02:17:17.971980] 	 Receive: 0

[2017-Aug-17 02:17:17.972153] 	 Send: TABLe:DELete RX_Port_4


[2017-Aug-17 02:17:17.992740] 	 Receive: 0

[2017-Aug-17 02:17:17.992978] 	 Send: TABLe:CLEar


[2017-Aug-17 02:17:18.013558] 	 Receive: 0

[2017-Aug-17 02:17:18.013744] 	 Send: TABLe TX_Port_1


[2017-Aug-17 02:17:18.034296] 	 Receive: 0

[2017-Aug-17 02:17:18.034475] 	 Send: TABLe:POINt:INSert 2400.00MHz,8.89


[2017-Aug-17 02:17:18.055017] 	 Receive: 0

[2017-Aug-17 02:17:18.055195] 	 Send: TABLe:POINt:INSert 2410.00MHz,8.90


[2017-Aug-17 02:17:18.075774] 	 Receive: 0

[2017-Aug-17 02:17:18.075948] 	 Send: TABLe:POINt:INSert 2420.00MHz,8.77


[2017-Aug-17 02:17:18.096501] 	 Receive: 0

[2017-Aug-17 02:17:18.096699] 	 Send: TABLe:POINt:INSert 2430.00MHz,8.90


[2017-Aug-17 02:17:18.117299] 	 Receive: 0

[2017-Aug-17 02:17:18.117476] 	 Send: TABLe:POINt:INSert 2440.00MHz,8.83


