[2017-Aug-17 23:38:22.284424] 	 open 2

[2017-Aug-17 23:38:22.284825] 	 open 

[2017-Aug-17 23:38:22.284969] 	 Send: INPut:STARt

[2017-Aug-17 23:38:22.417971] 	 Receive: 0


[2017-Aug-17 23:39:10.370764] 	 Send: TABLe:COUPled OFF


[2017-Aug-17 23:39:10.391489] 	 Receive: 0


[2017-Aug-17 23:39:10.391674] 	 Send: GPRF


[2017-Aug-17 23:39:10.435687] 	 Receive: 0


[2017-Aug-17 23:39:10.435881] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-17 23:39:10.459189] 	 Receive: 0


[2017-Aug-17 23:39:10.459364] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-17 23:39:10.479949] 	 Receive: 0


[2017-Aug-17 23:39:10.480108] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-17 23:39:10.480108] 	 Send: CONFigure:GPRF:SPE[2017-Aug-17 23:39:10.500686] 	 Receive: 0


[2017-Aug-17 23:39:10.500840] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-17 23:39:10.521425] 	 Receive: 5


[2017-Aug-17 23:39:10.521583] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-17 23:39:10.542174] 	 Receive: 0


[2017-Aug-17 23:39:10.542335] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-17 23[2017-Aug-17 23:39:10.562894] 	 Receive: 0


[2017-Aug-17 23:39:10.563048] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-17 23:39:10.583617] 	 Receive: 0


[2017-Aug-17 23:39:10.583770] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-17 23:39:10.604353] 	 Receive: 0


[2017-Aug-17 23:39:10.604504] 	 Send: INPut:STARt


[2017-Aug-17 23:39:10.625089] 	 Receive: 0


[2017-Aug-17 23:39:10.625243] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-17 23:39:10.645833] 	 Receive: 0


[2017-Aug-17 23:39:10.645983] 	 Send: OUTPut:STOP


[2017-Aug-17 23:39:10.666562] 	 Receive: 0


[2017-Aug-17 23:39:10.666713] 	 Send: OUTPut:POWer:STATe OFF


