[2017-Aug-09 08:19:35.852057] 	 open 2

[2017-Aug-09 08:19:35.853042] 	 open 

[2017-Aug-09 08:19:35.853200] 	 Send: INPut:STARt

[2017-Aug-09 08:19:35.959609] 	 Receive: 0


[2017-Aug-09 08:19:36.460495] 	 Send: TABLe:COUPled OFF


[2017-Aug-09 08:19:36.463046] 	 Receive: 0


[2017-Aug-09 08:19:36.463932] 	 Send: GPRF


[2017-Aug-09 08:19:36.498202] 	 Receive: 0


[2017-Aug-09 08:19:36.498934] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-09 08:19:36.507636] 	 Receive: 0


[2017-Aug-09 08:19:36.508250] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-09 08:19:36.511792] 	 Receive: 0


[2017-Aug-09 08:19:36.512782] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-09 08:19:36.512782] 	 Send: CONFigure:GPRF:SPE[2017-Aug-09 08:19:36.516199] 	 Receive: 0


[2017-Aug-09 08:19:36.516844] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-09 08:19:36.520586] 	 Receive: 5


[2017-Aug-09 08:19:36.521091] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-09 08:19:36.524017] 	 Receive: 0


[2017-Aug-09 08:19:36.524570] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-09 08[2017-Aug-09 08:19:36.531567] 	 Receive: 0


[2017-Aug-09 08:19:36.532312] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-09 08:19:36.537668] 	 Receive: 0


[2017-Aug-09 08:19:36.538164] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-09 08:19:36.540742] 	 Receive: 0


[2017-Aug-09 08:19:36.541196] 	 Send: INPut:STARt


[2017-Aug-09 08:19:36.543830] 	 Receive: 0


[2017-Aug-09 08:19:36.544281] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-09 08:19:36.546862] 	 Receive: 0


[2017-Aug-09 08:19:36.547312] 	 Send: OUTPut:STOP


[2017-Aug-09 08:19:36.549889] 	 Receive: 0


[2017-Aug-09 08:19:36.550420] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-09 08:19:36.552157] 	 Receive: 0


[2017-Aug-09 08:19:36.552439] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-09 08:19:36.554360] 	 Receive: 0


[2017-Aug-09 08:19:36.554625] 	 Send: CONFigure:RFCorrection:DISTribution OFF
[20[2017-Aug-09 08:19:36.556532] 	 Receive: 0


[2017-Aug-09 08:19:36.556799] 	 Send: TABLe:LOSS:PORT1:TX:LOAD 


