[2017-Aug-14 03:46:29.482021] 	 open 2

[2017-Aug-14 03:46:29.484893] 	 open 

[2017-Aug-14 03:46:29.485080] 	 Send: INPut:STARt

[2017-Aug-14 03:46:29.579559] 	 Receive: 0


[2017-Aug-14 03:46:30.081053] 	 Send: TABLe:COUPled OFF


[2017-Aug-14 03:46:30.084265] 	 Receive: 0


[2017-Aug-14 03:46:30.085046] 	 Send: GPRF


[2017-Aug-14 03:46:30.118087] 	 Receive: 0


[2017-Aug-14 03:46:30.118949] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-14 03:46:30.128480] 	 Receive: 0


[2017-Aug-14 03:46:30.129232] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-14 03:46:30.132201] 	 Receive: 0


[2017-Aug-14 03:46:30.133127] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-14 03:46:30.133127] 	 Send: CONFigure:GPRF:SPE[2017-Aug-14 03:46:30.136056] 	 Receive: 0


[2017-Aug-14 03:46:30.136695] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-14 03:46:30.138999] 	 Receive: 5


[2017-Aug-14 03:46:30.139620] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-14 03:46:30.142515] 	 Receive: 0


[2017-Aug-14 03:46:30.143320] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-14 03[2017-Aug-14 03:46:30.150290] 	 Receive: 0


[2017-Aug-14 03:46:30.150949] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-14 03:46:30.155407] 	 Receive: 0


[2017-Aug-14 03:46:30.156175] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-14 03:46:30.157926] 	 Receive: 0


[2017-Aug-14 03:46:30.158538] 	 Send: INPut:STARt


[2017-Aug-14 03:46:30.160945] 	 Receive: 0


[2017-Aug-14 03:46:30.161618] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-14 03:46:30.164027] 	 Receive: 0


[2017-Aug-14 03:46:30.164648] 	 Send: OUTPut:STOP


[2017-Aug-14 03:46:30.169036] 	 Receive: 0


[2017-Aug-14 03:46:30.169701] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-14 03:46:30.172620] 	 Receive: 0


[2017-Aug-14 03:46:30.173461] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-14 03:46:30.176869] 	 Receive: 0


[2017-Aug-14 03:46:30.177590] 	 Send: CONFigure:RFCorrection:DISTribution OFF
[20[2017-Aug-14 03:46:30.180002] 	 Receive: 0


[2017-Aug-14 03:46:30.180624] 	 Send: TABLe:LOSS:PORT1:TX:LOAD 


[2017-Aug-14 03:46:30.183614] 	 Receive: 0


[2017-Aug-14 03:46:30.184280] 	 Send: TABLe:LOSS:PORT1:RX:LOAD 


[2017-Aug-14 03:46:30.187425] 	 Receive: 0


[2017-Aug-14 03:46:30.188200] 	 Send: TABLe:LOSS:PORT2:TX:LOAD 


[2017-Aug-14 03:46:30.191512] 	 Receive: 0


[2017-Aug-14 03:46:30.192125] 	 Send: TABLe:LOSS:PORT2:RX:LOAD 


[2017-Aug-14 03:46:30.194221] 	 Receive: 0


[2017-Aug-14 03:46:30.194578] 	 Send: TABLe:LOSS:PORT3:TX:LOAD 


[2017-Aug-14 03:46:30.197284] 	 Receive: 0


[2017-Aug-14 03:46:30.197812] 	 Send: TABLe:LOSS:PORT3:RX:LOAD 


[2017-Aug-14 03:46:30.201267] 	 Receive: 0


[2017-Aug-14 03:46:30.201742] 	 Send: TABLe:LOSS:PORT4:TX:LOAD 


[2017-Aug-14 03:46:30.204450] 	 Receive: 0


[2017-Aug-14 03:46:30.204931] 	 Send: TABLe:LOSS:PORT4:RX:LOAD 


[2017-Aug-14 03:46:30.207232] 	 Receive: 0


[2017-Aug-14 03:46:30.207596] 	 Send: INPut:GPRF:MARKer:CLEar


[2017-Aug-14 03:46:30.209823] 	 Receive: 0


[2017-Aug-14 03:46:30.210257] 	 Send: INPut:MARKer:FIG4:CLEar


[2017-Aug-14 03:46:30.211759] 	 Receive: 0


[2017-Aug-14 03:46:30.212146] 	 Send: TABLe:DELete TX_Port_1


[2017-Aug-14 03:46:30.213854] 	 Receive: 0


[2017-Aug-14 03:46:30.214226] 	 Send: TABLe:DELete RX_Port_1


[2017-Aug-14 03:46:30.215841] 	 Receive: 0


[2017-Aug-14 03:46:30.216218] 	 Send: TABLe:DELete TX_Port_2


[2017-Aug-14 03:46:30.217775] 	 Receive: 0


[2017-Aug-14 03:46:30.218150] 	 Send: TABLe:DELete RX_Port_2


[2017-Aug-14 03:46:30.219969] 	 Receive: 0


[2017-Aug-14 03:46:30.220359] 	 Send: TABLe:DELete TX_Port_3


[2017-Aug-14 03:46:30.221692] 	 Receive: 0


[2017-Aug-14 03:46:30.222078] 	 Send: TABLe:DELete RX_Port_3


[2017-Aug-14 03:46:30.223831] 	 Receive: 0


[2017-Aug-14 03:46:30.224201] 	 Send: TABLe:DELete TX_Port_4


[2017-Aug-14 03:46:30.225671] 	 Receive: 0


[2017-Aug-14 03:46:30.226054] 	 Send: TABLe:DELete RX_Port_4


[2017-Aug-14 03:46:30.227672] 	 Receive: 0


[2017-Aug-14 03:46:30.228095] 	 Send: TABLe:CLEar


[2017-Aug-14 03:46:30.229602] 	 Receive: 0


[2017-Aug-14 03:46:30.229982] 	 Send: TABLe TX_Port_1


[2017-Aug-14 03:46:30.231669] 	 Receive: 0


[2017-Aug-14 03:46:30.232060] 	 Send: TABLe:POINt:INSert 2400.00MHz,8.89


[2017-Aug-14 03:46:30.233622] 	 Receive: 0


[2017-Aug-14 03:46:30.234003] 	 Send: TABLe:POINt:INSert 2410.00MHz,8.90


[2017-Aug-14 03:46:30.235641] 	 Receive: 0


[2017-Aug-14 03:46:30.236037] 	 Send: TABLe:POINt:INSert 2420.00MHz,8.77


[2017-Aug-14 03:46:30.237636] 	 Receive: 0


[2017-Aug-14 03:46:30.238016] 	 Send: TABLe:POINt:INSert 2430.00MHz,8.90


[2017-Aug-14 03:46:30.239781] 	 Receive: 0


[2017-Aug-14 03:46:30.240277] 	 Send: TABLe:POINt:INSert 2440.00MHz,8.83


[2017-Aug-14 03:46:30.241805] 	 Receive: 0


[2017-Aug-14 03:46:30.242192] 	 Send: TABLe:POINt:INSert 2450.00MHz,8.90


[2017-Aug-14 03:46:30.243734] 	 Receive: 0


[2017-Aug-14 03:46:30.244178] 	 Send: TABLe:POINt:INSert 2460.00MHz,8.83


[2017-Aug-14 03:46:30.245662] 	 Receive: 0


[2017-Aug-14 03:46:30.246065] 	 Send: TABLe:POINt:INSert 2470.00MHz,8.86


[2017-Aug-14 03:46:30.247812] 	 Receive: 0


[2017-Aug-14 03:46:30.248318] 	 Send: TABLe:POINt:INSert 2480.00MHz,8.77


[2017-Aug-14 03:46:30.250690] 	 Receive: 0


[2017-Aug-14 03:46:30.251128] 	 Send: TABLe:STORe 


[2017-Aug-14 03:46:30.252758] 	 Receive: 0


[2017-Aug-14 03:46:30.252993] 	 Send: TABLe:CLEar


[2017-Aug-14 03:46:30.254500] 	 Receive: 0


[2017-Aug-14 03:46:30.254715] 	 Send: TABLe RX_Port_1


