[2017-Aug-14 03:56:12.794151] 	 open 2

[2017-Aug-14 03:56:12.795140] 	 open 

[2017-Aug-14 03:56:12.795389] 	 Send: INPut:STARt

[2017-Aug-14 03:56:12.851420] 	 Receive: 0


[2017-Aug-14 03:56:13.353002] 	 Send: TABLe:COUPled OFF


[2017-Aug-14 03:56:13.355741] 	 Receive: 0


[2017-Aug-14 03:56:13.356397] 	 Send: GPRF


[2017-Aug-14 03:56:13.416081] 	 Receive: 0


[2017-Aug-14 03:56:13.416746] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-14 03:56:13.425460] 	 Receive: 0


[2017-Aug-14 03:56:13.426323] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-14 03:56:13.428590] 	 Receive: 0


[2017-Aug-14 03:56:13.429316] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-14 03:56:13.429316] 	 Send: CONFigure:GPRF:SPE[2017-Aug-14 03:56:13.432422] 	 Receive: 0


[2017-Aug-14 03:56:13.433125] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-14 03:56:13.435806] 	 Receive: 5


[2017-Aug-14 03:56:13.436577] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-14 03:56:13.439157] 	 Receive: 0


[2017-Aug-14 03:56:13.439794] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-14 03[2017-Aug-14 03:56:13.448388] 	 Receive: 0


[2017-Aug-14 03:56:13.449049] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-14 03:56:13.454009] 	 Receive: 0


[2017-Aug-14 03:56:13.454634] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-14 03:56:13.456537] 	 Receive: 0


[2017-Aug-14 03:56:13.456989] 	 Send: INPut:STARt


[2017-Aug-14 03:56:13.458427] 	 Receive: 0


[2017-Aug-14 03:56:13.458866] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-14 03:56:13.462097] 	 Receive: 0


[2017-Aug-14 03:56:13.462489] 	 Send: OUTPut:STOP


[2017-Aug-14 03:56:13.465446] 	 Receive: 0


[2017-Aug-14 03:56:13.466034] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-14 03:56:13.468942] 	 Receive: 0


[2017-Aug-14 03:56:13.469379] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-14 03:56:13.472230] 	 Receive: 0


[2017-Aug-14 03:56:13.472685] 	 Send: CONFigure:RFCorrection:DISTribution OFF
[20[2017-Aug-14 03:56:13.474578] 	 Receive: 0


[2017-Aug-14 03:56:13.475065] 	 Send: TABLe:LOSS:PORT1:TX:LOAD 


[2017-Aug-14 03:56:13.478024] 	 Receive: 0


[2017-Aug-14 03:56:13.478316] 	 Send: TABLe:LOSS:PORT1:RX:LOAD 


[2017-Aug-14 03:56:13.480851] 	 Receive: 0


[2017-Aug-14 03:56:13.481169] 	 Send: TABLe:LOSS:PORT2:TX:LOAD 


[2017-Aug-14 03:56:13.483892] 	 Receive: 0


[2017-Aug-14 03:56:13.484139] 	 Send: TABLe:LOSS:PORT2:RX:LOAD 


[2017-Aug-14 03:56:13.485804] 	 Receive: 0


[2017-Aug-14 03:56:13.486088] 	 Send: TABLe:LOSS:PORT3:TX:LOAD 


[2017-Aug-14 03:56:13.487745] 	 Receive: 0


[2017-Aug-14 03:56:13.487999] 	 Send: TABLe:LOSS:PORT3:RX:LOAD 


[2017-Aug-14 03:56:13.489719] 	 Receive: 0


[2017-Aug-14 03:56:13.489976] 	 Send: TABLe:LOSS:PORT4:TX:LOAD 


[2017-Aug-14 03:56:13.491791] 	 Receive: 0


[2017-Aug-14 03:56:13.492055] 	 Send: TABLe:LOSS:PORT4:RX:LOAD 


[2017-Aug-14 03:56:13.493768] 	 Receive: 0


[2017-Aug-14 03:56:13.494120] 	 Send: INPut:GPRF:MARKer:CLEar


[2017-Aug-14 03:56:13.495249] 	 Receive: 0


[2017-Aug-14 03:56:13.495486] 	 Send: INPut:MARKer:FIG4:CLEar


[2017-Aug-14 03:56:13.497222] 	 Receive: 0


[2017-Aug-14 03:56:13.497500] 	 Send: TABLe:DELete TX_Port_1


