[2017-Aug-15 04:25:46.465150] 	 open 2

[2017-Aug-15 04:25:46.466102] 	 open 

[2017-Aug-15 04:25:46.466288] 	 Send: INPut:STARt

[2017-Aug-15 04:25:46.579735] 	 Receive: 0

[2017-Aug-15 04:25:47.080943] 	 Send: TABLe:COUPled OFF


[2017-Aug-15 04:25:47.083993] 	 Receive: 0

[2017-Aug-15 04:25:47.084934] 	 Send: GPRF


[2017-Aug-15 04:25:47.126693] 	 Receive: 0

[2017-Aug-15 04:25:47.127619] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-15 04:25:47.137600] 	 Receive: 0

[2017-Aug-15 04:25:47.138301] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-15 04:25:47.141161] 	 Receive: 0

[2017-Aug-15 04:25:47.141987] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-15 04:25:47.141987] 	 Send: CONFigure:GPRF:SPE[2017-Aug-15 04:25:47.144382] 	 Receive: 0

[2017-Aug-15 04:25:47.144871] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-15 04:25:47.146512] 	 Receive: 5

[2017-Aug-15 04:25:47.146929] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-15 04:25:47.148887] 	 Receive: 0

[2017-Aug-15 04:25:47.149285] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-15 04[2017-Aug-15 04:25:47.155923] 	 Receive: 0

[2017-Aug-15 04:25:47.156386] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-15 04:25:47.160877] 	 Receive: 0

[2017-Aug-15 04:25:47.161311] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-15 04:25:47.163404] 	 Receive: 0

[2017-Aug-15 04:25:47.163798] 	 Send: INPut:STARt


[2017-Aug-15 04:25:47.165398] 	 Receive: 0

[2017-Aug-15 04:25:47.165858] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-15 04:25:47.167353] 	 Receive: 0

[2017-Aug-15 04:25:47.167814] 	 Send: OUTPut:STOP


[2017-Aug-15 04:25:47.171318] 	 Receive: 0

[2017-Aug-15 04:25:47.171687] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-15 04:25:47.173705] 	 Receive: 0

