[2017-Aug-17 18:27:05.994795] 	 open 2

[2017-Aug-17 18:27:05.995199] 	 open 

[2017-Aug-17 18:27:05.995354] 	 Send: INPut:STARt

[2017-Aug-17 18:27:06.112167] 	 Receive: 0


[2017-Aug-17 18:27:06.612605] 	 Send: TABLe:COUPled OFF


[2017-Aug-17 18:27:06.633838] 	 Receive: 0


[2017-Aug-17 18:27:06.634056] 	 Send: GPRF


[2017-Aug-17 18:27:07.155495] 	 Receive TimeOut

[2017-Aug-17 18:27:07.756268] 	 Receive TimeOut

[2017-Aug-17 18:27:08.357043] 	 Receive TimeOut

[2017-Aug-17 18:27:08.958150] 	 Receive TimeOut

[2017-Aug-17 18:27:09.559273] 	 Receive TimeOut

[2017-Aug-17 18:27:10.159988] 	 Receive TimeOut

[2017-Aug-17 18:27:10.760631] 	 Receive TimeOut

[2017-Aug-17 18:27:11.361674] 	 Receive TimeOut

[2017-Aug-17 18:27:11.963066] 	 Receive TimeOut

[2017-Aug-17 18:27:12.563789] 	 Receive TimeOut

[2017-Aug-17 18:27:13.165636] 	 Receive TimeOut

[2017-Aug-17 18:27:13.766849] 	 Receive TimeOut

[2017-Aug-17 18:27:14.369067] 	 Receive TimeOut

[2017-Aug-17 18:27:14.970227] 	 Receive TimeOut

[2017-Aug-17 18:27:15.571935] 	 Receive TimeOut

[2017-Aug-17 18:27:16.172664] 	 Receive TimeOut

[2017-Aug-17 18:27:16.773453] 	 Receive TimeOut

[2017-Aug-17 18:27:17.376237] 	 Receive TimeOut

[2017-Aug-17 18:27:17.977906] 	 Receive TimeOut

[2017-Aug-17 18:27:18.578306] 	 Receive TimeOut

[2017-Aug-17 18:27:19.178704] 	 Receive TimeOut

[2017-Aug-17 18:27:19.779162] 	 Receive TimeOut

[2017-Aug-17 18:27:20.381156] 	 Receive TimeOut

[2017-Aug-17 18:27:20.981781] 	 Receive TimeOut

[2017-Aug-17 18:27:21.582184] 	 Receive TimeOut

[2017-Aug-17 18:27:22.182942] 	 Receive TimeOut

[2017-Aug-17 18:27:22.783558] 	 Receive TimeOut

[2017-Aug-17 18:27:23.384726] 	 Receive TimeOut

[2017-Aug-17 18:27:23.986171] 	 Receive TimeOut

[2017-Aug-17 18:27:24.587426] 	 Receive TimeOut

[2017-Aug-17 18:27:25.187925] 	 Receive TimeOut

[2017-Aug-17 18:27:25.788932] 	 Receive TimeOut

[2017-Aug-17 18:27:26.390084] 	 Receive TimeOut

[2017-Aug-17 18:27:26.992009] 	 Receive TimeOut

[2017-Aug-17 18:27:27.592915] 	 Receive TimeOut

[2017-Aug-17 18:27:28.197864] 	 Receive TimeOut

[2017-Aug-17 18:27:28.803183] 	 Receive TimeOut

[2017-Aug-17 18:27:29.407896] 	 Receive TimeOut

[2017-Aug-17 18:27:30.011731] 	 Receive TimeOut

[2017-Aug-17 18:27:30.615637] 	 Receive TimeOut

[2017-Aug-17 18:27:31.219353] 	 Receive TimeOut

[2017-Aug-17 18:27:31.823115] 	 Receive TimeOut

[2017-Aug-17 18:27:32.426937] 	 Receive TimeOut

[2017-Aug-17 18:27:33.028556] 	 Receive TimeOut

[2017-Aug-17 18:27:33.629521] 	 Receive TimeOut

[2017-Aug-17 18:27:34.231188] 	 Receive TimeOut

[2017-Aug-17 18:27:34.834436] 	 Receive TimeOut

[2017-Aug-17 18:27:35.435165] 	 Receive TimeOut

[2017-Aug-17 18:27:36.035860] 	 Receive TimeOut

[2017-Aug-17 18:27:36.636527] 	 Receive TimeOut

[2017-Aug-17 18:27:37.237071] 	 Receive TimeOut

[2017-Aug-17 18:27:37.837774] 	 Receive TimeOut

[2017-Aug-17 18:27:38.438209] 	 Receive TimeOut

[2017-Aug-17 18:27:39.038722] 	 Receive TimeOut

[2017-Aug-17 18:27:39.639661] 	 Receive TimeOut

[2017-Aug-17 18:27:40.242404] 	 Receive TimeOut

[2017-Aug-17 18:27:40.843025] 	 Receive TimeOut

[2017-Aug-17 18:27:41.443505] 	 Receive TimeOut

[2017-Aug-17 18:27:42.043987] 	 Receive TimeOut

[2017-Aug-17 18:27:42.644497] 	 Receive TimeOut

[2017-Aug-17 18:27:43.245652] 	 Receive TimeOut

[2017-Aug-17 18:27:43.846129] 	 Receive TimeOut

[2017-Aug-17 18:27:44.447594] 	 Receive TimeOut

[2017-Aug-17 18:27:45.048162] 	 Receive TimeOut

[2017-Aug-17 18:27:45.650012] 	 Receive TimeOut

[2017-Aug-17 18:27:46.250889] 	 Receive TimeOut

[2017-Aug-17 18:27:46.852098] 	 Receive TimeOut

[2017-Aug-17 18:27:47.453338] 	 Receive TimeOut

[2017-Aug-17 18:27:48.054081] 	 Receive TimeOut

[2017-Aug-17 18:27:48.654779] 	 Receive TimeOut

[2017-Aug-17 18:27:49.255282] 	 Receive TimeOut

[2017-Aug-17 18:27:49.855767] 	 Receive TimeOut

[2017-Aug-17 18:27:50.458652] 	 Receive TimeOut

[2017-Aug-17 18:27:51.060336] 	 Receive TimeOut

[2017-Aug-17 18:27:51.661139] 	 Receive TimeOut

[2017-Aug-17 18:27:52.263571] 	 Receive TimeOut

[2017-Aug-17 18:27:52.863995] 	 Receive TimeOut

[2017-Aug-17 18:27:53.465335] 	 Receive TimeOut

[2017-Aug-17 18:27:54.066987] 	 Receive TimeOut

53.465335] 	 Receive TimeOut

[2017-Aug-17 18:27:54.066987] 	 Receive TimeOut

-17 18:27:54.066987] 	 Receive TimeOut

