[2017-Aug-15 02:30:32.714910] 	 open 2

[2017-Aug-15 02:30:32.716331] 	 open 

[2017-Aug-15 02:30:32.716561] 	 Send: INPut:STARt

[2017-Aug-15 02:31:01.290357] 	 Receive: 0

[2017-Aug-15 02:31:01.791797] 	 Send: TABLe:COUPled OFF


[2017-Aug-15 02:31:01.794916] 	 Receive: 0

[2017-Aug-15 02:31:01.795516] 	 Send: GPRF


[2017-Aug-15 02:31:01.798828] 	 Receive: 0

[2017-Aug-15 02:31:01.799441] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-15 02:31:01.811223] 	 Receive: 0

[2017-Aug-15 02:31:01.812027] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-15 02:31:01.815042] 	 Receive: 0

[2017-Aug-15 02:31:01.815795] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-15 02:31:01.815795] 	 Send: CONFigure:GPRF:SPE[2017-Aug-15 02:31:01.819056] 	 Receive: 0

[2017-Aug-15 02:31:01.819716] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-15 02:31:01.821916] 	 Receive: 5

[2017-Aug-15 02:31:01.822640] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-15 02:31:01.825809] 	 Receive: 0

[2017-Aug-15 02:31:01.826423] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-15 02[2017-Aug-15 02:31:01.831647] 	 Receive: 0

[2017-Aug-15 02:31:01.832253] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-15 02:31:01.835375] 	 Receive: 0

[2017-Aug-15 02:31:01.836029] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-15 02:31:01.838729] 	 Receive: 0

[2017-Aug-15 02:31:01.839331] 	 Send: INPut:STARt


[2017-Aug-15 02:31:01.842699] 	 Receive: 0

[2017-Aug-15 02:31:01.843786] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-15 02:31:01.845737] 	 Receive: 0

[2017-Aug-15 02:31:01.847691] 	 Send: OUTPut:STOP


[2017-Aug-15 02:31:01.849841] 	 Receive: 0

[2017-Aug-15 02:31:01.850718] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-15 02:31:01.852753] 	 Receive: 0

[2017-Aug-15 02:31:01.853354] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-15 02:31:01.856034] 	 Receive: 0

[2017-Aug-15 02:31:01.856698] 	 Send: CONFigure:RFCorrection:DISTribution OFF
[20[2017-Aug-15 02:31:01.859530] 	 Receive: 0

[2017-Aug-15 02:31:01.860310] 	 Send: TABLe:LOSS:PORT1:TX:LOAD 


[2017-Aug-15 02:31:01.863372] 	 Receive: 0

[2017-Aug-15 02:31:01.864020] 	 Send: TABLe:LOSS:PORT1:RX:LOAD 


[2017-Aug-15 02:31:01.867375] 	 Receive: 0

[2017-Aug-15 02:31:01.867935] 	 Send: TABLe:LOSS:PORT2:TX:LOAD 


[2017-Aug-15 02:31:01.870317] 	 Receive: 0

[2017-Aug-15 02:31:01.870922] 	 Send: TABLe:LOSS:PORT2:RX:LOAD 


[2017-Aug-15 02:31:01.873206] 	 Receive: 0

[2017-Aug-15 02:31:01.873728] 	 Send: TABLe:LOSS:PORT3:TX:LOAD 


[2017-Aug-15 02:31:01.876228] 	 Receive: 0

[2017-Aug-15 02:31:01.876749] 	 Send: TABLe:LOSS:PORT3:RX:LOAD 


[2017-Aug-15 02:31:01.879148] 	 Receive: 0

[2017-Aug-15 02:31:01.879668] 	 Send: TABLe:LOSS:PORT4:TX:LOAD 


[2017-Aug-15 02:31:01.882241] 	 Receive: 0

[2017-Aug-15 02:31:01.882761] 	 Send: TABLe:LOSS:PORT4:RX:LOAD 


[2017-Aug-15 02:31:01.885132] 	 Receive: 0

[2017-Aug-15 02:31:01.885651] 	 Send: INPut:GPRF:MARKer:CLEar


[2017-Aug-15 02:31:01.887665] 	 Receive: 0

[2017-Aug-15 02:31:01.888141] 	 Send: INPut:MARKer:FIG4:CLEar


[2017-Aug-15 02:31:01.890685] 	 Receive: 0

[2017-Aug-15 02:31:01.891168] 	 Send: TABLe:DELete TX_Port_1


[2017-Aug-15 02:31:01.893912] 	 Receive: 0

[2017-Aug-15 02:31:01.894387] 	 Send: TABLe:DELete RX_Port_1


[2017-Aug-15 02:31:01.896716] 	 Receive: 0

[2017-Aug-15 02:31:01.897193] 	 Send: TABLe:DELete TX_Port_2


[2017-Aug-15 02:31:01.899705] 	 Receive: 0

[2017-Aug-15 02:31:01.900183] 	 Send: TABLe:DELete RX_Port_2


[2017-Aug-15 02:31:01.902701] 	 Receive: 0

[2017-Aug-15 02:31:01.903181] 	 Send: TABLe:DELete TX_Port_3


[2017-Aug-15 02:31:01.905704] 	 Receive: 0

[2017-Aug-15 02:31:01.906179] 	 Send: TABLe:DELete RX_Port_3


[2017-Aug-15 02:31:01.908701] 	 Receive: 0

[2017-Aug-15 02:31:01.909176] 	 Send: TABLe:DELete TX_Port_4


[2017-Aug-15 02:31:01.911686] 	 Receive: 0

[2017-Aug-15 02:31:01.912165] 	 Send: TABLe:DELete RX_Port_4


[2017-Aug-15 02:31:01.914684] 	 Receive: 0

[2017-Aug-15 02:31:01.915193] 	 Send: TABLe:CLEar


[2017-Aug-15 02:31:01.917634] 	 Receive: 0

[2017-Aug-15 02:31:01.918099] 	 Send: TABLe TX_Port_1


[2017-Aug-15 02:31:01.920662] 	 Receive: 0

[2017-Aug-15 02:31:01.921149] 	 Send: TABLe:POINt:INSert 2400.00MHz,8.89


[2017-Aug-15 02:31:01.923685] 	 Receive: 0

[2017-Aug-15 02:31:01.924064] 	 Send: TABLe:POINt:INSert 2410.00MHz,8.90


[2017-Aug-15 02:31:01.925517] 	 Receive: 0

[2017-Aug-15 02:31:01.925933] 	 Send: TABLe:POINt:INSert 2420.00MHz,8.77


[2017-Aug-15 02:31:01.927521] 	 Receive: 0

[2017-Aug-15 02:31:01.927938] 	 Send: TABLe:POINt:INSert 2430.00MHz,8.90


[2017-Aug-15 02:31:01.929536] 	 Receive: 0

[2017-Aug-15 02:31:01.929951] 	 Send: TABLe:POINt:INSert 2440.00MHz,8.83


[2017-Aug-15 02:31:01.931517] 	 Receive: 0

[2017-Aug-15 02:31:01.931933] 	 Send: TABLe:POINt:INSert 2450.00MHz,8.90


[2017-Aug-15 02:31:01.933517] 	 Receive: 0

