[2017-Aug-15 07:02:25.303689] 	 open 2

[2017-Aug-15 07:02:25.304472] 	 open 

[2017-Aug-15 07:02:25.304682] 	 Send: INPut:STARt

[2017-Aug-15 07:02:30.697077] 	 Receive: 0

[2017-Aug-15 07:02:31.197994] 	 Send: TABLe:COUPled OFF


[2017-Aug-15 07:02:31.223076] 	 Receive: 0

[2017-Aug-15 07:02:31.224005] 	 Send: GPRF


[2017-Aug-15 07:02:31.287981] 	 Receive: 0

[2017-Aug-15 07:02:31.288481] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-15 07:02:31.315041] 	 Receive: 0

[2017-Aug-15 07:02:31.315654] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-15 07:02:31.339998] 	 Receive: 0

[2017-Aug-15 07:02:31.340623] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-15 07:02:31.340623] 	 Send: CONFigure:GPRF:SPE[2017-Aug-15 07:02:31.365039] 	 Receive: 0

[2017-Aug-15 07:02:31.365648] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-15 07:02:31.389998] 	 Receive: 5

[2017-Aug-15 07:02:31.390625] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-15 07:02:31.415047] 	 Receive: 0

[2017-Aug-15 07:02:31.415678] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-15 07[2017-Aug-15 07:02:31.439997] 	 Receive: 0

[2017-Aug-15 07:02:31.440640] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-15 07:02:31.465026] 	 Receive: 0

[2017-Aug-15 07:02:31.465647] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-15 07:02:31.490004] 	 Receive: 0

[2017-Aug-15 07:02:31.490619] 	 Send: INPut:STARt


[2017-Aug-15 07:02:31.515051] 	 Receive: 0

