[2017-Aug-18 00:28:26.024263] 	 open 2

[2017-Aug-18 00:28:26.024636] 	 open 

[2017-Aug-18 00:28:26.024789] 	 Send: INPut:STARt

[2017-Aug-18 00:28:26.142360] 	 Receive: 0


[2017-Aug-18 00:28:26.642712] 	 Send: TABLe:COUPled OFF


[2017-Aug-18 00:28:26.644287] 	 Receive: 0


[2017-Aug-18 00:28:26.644434] 	 Send: GPRF


[2017-Aug-18 00:28:26.698304] 	 Receive: 0


[2017-Aug-18 00:28:26.698584] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-18 00:28:26.706076] 	 Receive: 0


[2017-Aug-18 00:28:26.706263] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-18 00:28:26.707272] 	 Receive: 0


[2017-Aug-18 00:28:26.707419] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-18 00:28:26.707419] 	 Send: CONFigure:GPRF:SPE[2017-Aug-18 00:28:26.708237] 	 Receive: 0


[2017-Aug-18 00:28:26.708380] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-18 00:28:26.709255] 	 Receive: 5


[2017-Aug-18 00:28:26.709427] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-18 00:28:26.710806] 	 Receive: 0


[2017-Aug-18 00:28:26.710955] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-18 00[2017-Aug-18 00:28:26.717040] 	 Receive: 0


[2017-Aug-18 00:28:26.717751] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-18 00:28:26.720691] 	 Receive: 0


[2017-Aug-18 00:28:26.720866] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-18 00:28:26.721275] 	 Receive: 0


[2017-Aug-18 00:28:26.721446] 	 Send: INPut:STARt


[2017-Aug-18 00:28:26.722316] 	 Receive: 0


[2017-Aug-18 00:28:26.722460] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-18 00:28:26.723251] 	 Receive: 0


[2017-Aug-18 00:28:26.723393] 	 Send: OUTPut:STOP


[2017-Aug-18 00:28:26.726254] 	 Receive: 0


[2017-Aug-18 00:28:26.726398] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-18 00:28:26.727868] 	 Receive: 0


[2017-Aug-18 00:28:26.728011] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-18 00:28:26.730072] 	 Receive: 0


[2017-Aug-18 00:28:26.730217] 	 Send: CONFigure:RFCorrection:DISTribution OFF
[20[2017-Aug-18 00:28:26.731397] 	 Receive: 0


[2017-Aug-18 00:28:26.731605] 	 Send: TABLe:LOSS:PORT1:TX:LOAD 


[2017-Aug-18 00:28:26.732869] 	 Receive: 0


[2017-Aug-18 00:28:26.733026] 	 Send: TABLe:LOSS:PORT1:RX:LOAD 


[2017-Aug-18 00:28:26.734991] 	 Receive: 0


[2017-Aug-18 00:28:26.735379] 	 Send: TABLe:LOSS:PORT2:TX:LOAD 


[2017-Aug-18 00:28:26.736888] 	 Receive: 0


[2017-Aug-18 00:28:26.737038] 	 Send: TABLe:LOSS:PORT2:RX:LOAD 


[2017-Aug-18 00:28:26.738869] 	 Receive: 0


[2017-Aug-18 00:28:26.739013] 	 Send: TABLe:LOSS:PORT3:TX:LOAD 


[2017-Aug-18 00:28:26.740877] 	 Receive: 0


[2017-Aug-18 00:28:26.741020] 	 Send: TABLe:LOSS:PORT3:RX:LOAD 


[2017-Aug-18 00:28:26.742813] 	 Receive: 0


[2017-Aug-18 00:28:26.742957] 	 Send: TABLe:LOSS:PORT4:TX:LOAD 


[2017-Aug-18 00:28:26.744832] 	 Receive: 0


[2017-Aug-18 00:28:26.744975] 	 Send: TABLe:LOSS:PORT4:RX:LOAD 


[2017-Aug-18 00:28:26.746790] 	 Receive: 0


[2017-Aug-18 00:28:26.746926] 	 Send: INPut:GPRF:MARKer:CLEar


