[2017-Aug-14 03:03:20.648120] 	 open 2

[2017-Aug-14 03:03:20.651763] 	 open 

[2017-Aug-14 03:03:20.652038] 	 Send: INPut:STARt

[2017-Aug-14 03:03:25.019036] 	 Receive: 0


[2017-Aug-14 03:03:25.521470] 	 Send: TABLe:COUPled OFF


[2017-Aug-14 03:03:25.524080] 	 Receive: 0


[2017-Aug-14 03:03:25.524939] 	 Send: GPRF


[2017-Aug-14 03:03:25.574133] 	 Receive: 0


[2017-Aug-14 03:03:25.575133] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-14 03:03:25.584358] 	 Receive: 0


[2017-Aug-14 03:03:25.584890] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-14 03:03:25.586434] 	 Receive: 0


[2017-Aug-14 03:03:25.586940] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-14 03:03:25.586940] 	 Send: CONFigure:GPRF:SPE[2017-Aug-14 03:03:25.589457] 	 Receive: 0


[2017-Aug-14 03:03:25.589958] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-14 03:03:25.591408] 	 Receive: 5


[2017-Aug-14 03:03:25.591922] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-14 03:03:25.594993] 	 Receive: 0


[2017-Aug-14 03:03:25.595578] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-14 03[2017-Aug-14 03:03:25.601854] 	 Receive: 0


[2017-Aug-14 03:03:25.602428] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-14 03:03:25.606804] 	 Receive: 0


[2017-Aug-14 03:03:25.607348] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-14 03:03:25.609447] 	 Receive: 0


[2017-Aug-14 03:03:25.609949] 	 Send: INPut:STARt


[2017-Aug-14 03:03:25.612439] 	 Receive: 0


[2017-Aug-14 03:03:25.612944] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-14 03:03:25.614432] 	 Receive: 0


[2017-Aug-14 03:03:25.614929] 	 Send: OUTPut:STOP


[2017-Aug-14 03:03:25.618434] 	 Receive: 0


[2017-Aug-14 03:03:25.618936] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-14 03:03:25.620995] 	 Receive: 0


[2017-Aug-14 03:03:25.621566] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-14 03:03:25.624228] 	 Receive: 0


[2017-Aug-14 03:03:25.624778] 	 Send: CONFigure:RFCorrection:DISTribution OFF
[20[2017-Aug-14 03:03:25.626432] 	 Receive: 0


[2017-Aug-14 03:03:25.626968] 	 Send: TABLe:LOSS:PORT1:TX:LOAD 


[2017-Aug-14 03:03:25.630015] 	 Receive: 0


[2017-Aug-14 03:03:25.630569] 	 Send: TABLe:LOSS:PORT1:RX:LOAD 


[2017-Aug-14 03:03:25.632982] 	 Receive: 0


[2017-Aug-14 03:03:25.633536] 	 Send: TABLe:LOSS:PORT2:TX:LOAD 


[2017-Aug-14 03:03:25.636043] 	 Receive: 0


[2017-Aug-14 03:03:25.636597] 	 Send: TABLe:LOSS:PORT2:RX:LOAD 


[2017-Aug-14 03:03:25.639018] 	 Receive: 0


[2017-Aug-14 03:03:25.639569] 	 Send: TABLe:LOSS:PORT3:TX:LOAD 


[2017-Aug-14 03:03:25.642011] 	 Receive: 0


[2017-Aug-14 03:03:25.642565] 	 Send: TABLe:LOSS:PORT3:RX:LOAD 


[2017-Aug-14 03:03:25.644978] 	 Receive: 0


[2017-Aug-14 03:03:25.645533] 	 Send: TABLe:LOSS:PORT4:TX:LOAD 


[2017-Aug-14 03:03:25.647997] 	 Receive: 0


[2017-Aug-14 03:03:25.648550] 	 Send: TABLe:LOSS:PORT4:RX:LOAD 


[2017-Aug-14 03:03:25.650982] 	 Receive: 0


[2017-Aug-14 03:03:25.651553] 	 Send: INPut:GPRF:MARKer:CLEar


[2017-Aug-14 03:03:25.653413] 	 Receive: 0


[2017-Aug-14 03:03:25.653908] 	 Send: INPut:MARKer:FIG4:CLEar


[2017-Aug-14 03:03:25.655427] 	 Receive: 0


[2017-Aug-14 03:03:25.655940] 	 Send: TABLe:DELete TX_Port_1


[2017-Aug-14 03:03:25.658557] 	 Receive: 0


[2017-Aug-14 03:03:25.659059] 	 Send: TABLe:DELete RX_Port_1


[2017-Aug-14 03:03:25.661556] 	 Receive: 0


[2017-Aug-14 03:03:25.662072] 	 Send: TABLe:DELete TX_Port_2


[2017-Aug-14 03:03:25.664806] 	 Receive: 0


[2017-Aug-14 03:03:25.665311] 	 Send: TABLe:DELete RX_Port_2


[2017-Aug-14 03:03:25.667628] 	 Receive: 0


[2017-Aug-14 03:03:25.668131] 	 Send: TABLe:DELete TX_Port_3


[2017-Aug-14 03:03:25.670506] 	 Receive: 0


[2017-Aug-14 03:03:25.671005] 	 Send: TABLe:DELete RX_Port_3


[2017-Aug-14 03:03:25.673506] 	 Receive: 0


[2017-Aug-14 03:03:25.674011] 	 Send: TABLe:DELete TX_Port_4


[2017-Aug-14 03:03:25.676487] 	 Receive: 0


[2017-Aug-14 03:03:25.676991] 	 Send: TABLe:DELete RX_Port_4


[2017-Aug-14 03:03:25.679492] 	 Receive: 0


[2017-Aug-14 03:03:25.679999] 	 Send: TABLe:CLEar


[2017-Aug-14 03:03:25.682445] 	 Receive: 0


[2017-Aug-14 03:03:25.682949] 	 Send: TABLe TX_Port_1


[2017-Aug-14 03:03:25.685452] 	 Receive: 0


[2017-Aug-14 03:03:25.685964] 	 Send: TABLe:POINt:INSert 2400.00MHz,8.89


[2017-Aug-14 03:03:25.688423] 	 Receive: 0


[2017-Aug-14 03:03:25.688932] 	 Send: TABLe:POINt:INSert 2410.00MHz,8.90


[2017-Aug-14 03:03:25.690444] 	 Receive: 0


[2017-Aug-14 03:03:25.690950] 	 Send: TABLe:POINt:INSert 2420.00MHz,8.77


[2017-Aug-14 03:03:25.693440] 	 Receive: 0


[2017-Aug-14 03:03:25.693950] 	 Send: TABLe:POINt:INSert 2430.00MHz,8.90


[2017-Aug-14 03:03:25.695410] 	 Receive: 0


[2017-Aug-14 03:03:25.695915] 	 Send: TABLe:POINt:INSert 2440.00MHz,8.83


[2017-Aug-14 03:03:25.698425] 	 Receive: 0


[2017-Aug-14 03:03:25.698932] 	 Send: TABLe:POINt:INSert 2450.00MHz,8.90


[2017-Aug-14 03:03:25.701488] 	 Receive: 0


[2017-Aug-14 03:03:25.702001] 	 Send: TABLe:POINt:INSert 2460.00MHz,8.83


[2017-Aug-14 03:03:25.704421] 	 Receive: 0


[2017-Aug-14 03:03:25.704905] 	 Send: TABLe:POINt:INSert 2470.00MHz,8.86


[2017-Aug-14 03:03:25.706393] 	 Receive: 0


[2017-Aug-14 03:03:25.706868] 	 Send: TABLe:POINt:INSert 2480.00MHz,8.77


[2017-Aug-14 03:03:25.708446] 	 Receive: 0


[2017-Aug-14 03:03:25.708955] 	 Send: TABLe:STORe 


[2017-Aug-14 03:03:25.711836] 	 Receive: 0


[2017-Aug-14 03:03:25.712376] 	 Send: TABLe:CLEar


[2017-Aug-14 03:03:25.714447] 	 Receive: 0


[2017-Aug-14 03:03:25.714946] 	 Send: TABLe RX_Port_1


[2017-Aug-14 03:03:25.717465] 	 Receive: 0


[2017-Aug-14 03:03:25.717974] 	 Send: TABLe:POINt:INSert 2400.00MHz,9.53


[2017-Aug-14 03:03:25.720466] 	 Receive: 0


[2017-Aug-14 03:03:25.720973] 	 Send: TABLe:POINt:INSert 2410.00MHz,9.49


[2017-Aug-14 03:03:25.723442] 	 Receive: 0


[2017-Aug-14 03:03:25.723948] 	 Send: TABLe:POINt:INSert 2420.00MHz,9.64


[2017-Aug-14 03:03:25.726433] 	 Receive: 0


[2017-Aug-14 03:03:25.726969] 	 Send: TABLe:POINt:INSert 2430.00MHz,9.58


[2017-Aug-14 03:03:25.729450] 	 Receive: 0


[2017-Aug-14 03:03:25.729956] 	 Send: TABLe:POINt:INSert 2440.00MHz,9.70


[2017-Aug-14 03:03:25.732450] 	 Receive: 0


[2017-Aug-14 03:03:25.732958] 	 Send: TABLe:POINt:INSert 2450.00MHz,9.61


[2017-Aug-14 03:03:25.735450] 	 Receive: 0


[2017-Aug-14 03:03:25.735956] 	 Send: TABLe:POINt:INSert 2460.00MHz,9.70


[2017-Aug-14 03:03:25.738458] 	 Receive: 0


[2017-Aug-14 03:03:25.738962] 	 Send: TABLe:POINt:INSert 2470.00MHz,9.63


[2017-Aug-14 03:03:25.741477] 	 Receive: 0


[2017-Aug-14 03:03:25.741986] 	 Send: TABLe:POINt:INSert 2480.00MHz,9.72


[2017-Aug-14 03:03:25.744462] 	 Receive: 0


[2017-Aug-14 03:03:25.745023] 	 Send: TABLe:STORe 


[2017-Aug-14 03:03:25.747738] 	 Receive: 0


[2017-Aug-14 03:03:25.748237] 	 Send: TABLe:CLEar


[2017-Aug-14 03:03:25.750467] 	 Receive: 0


[2017-Aug-14 03:03:25.750964] 	 Send: TABLe TX_Port_2


[2017-Aug-14 03:03:25.753472] 	 Receive: 0


[2017-Aug-14 03:03:25.753980] 	 Send: TABLe:POINt:INSert 2400.00MHz,8.89


[2017-Aug-14 03:03:25.756454] 	 Receive: 0


[2017-Aug-14 03:03:25.756962] 	 Send: TABLe:POINt:INSert 2410.00MHz,8.92


[2017-Aug-14 03:03:25.759447] 	 Receive: 0


[2017-Aug-14 03:03:25.759951] 	 Send: TABLe:POINt:INSert 2420.00MHz,8.81


[2017-Aug-14 03:03:25.762463] 	 Receive: 0


[2017-Aug-14 03:03:25.762970] 	 Send: TABLe:POINt:INSert 2430.00MHz,8.91


[2017-Aug-14 03:03:25.765390] 	 Receive: 0


[2017-Aug-14 03:03:25.765897] 	 Send: TABLe:POINt:INSert 2440.00MHz,8.84


[2017-Aug-14 03:03:25.768418] 	 Receive: 0


[2017-Aug-14 03:03:25.768927] 	 Send: TABLe:POINt:INSert 2450.00MHz,8.90


