[2017-Aug-18 00:58:20.574742] 	 open 2

[2017-Aug-18 00:58:20.575204] 	 open 

[2017-Aug-18 00:58:20.575355] 	 Send: INPut:STARt

[2017-Aug-18 00:58:20.645857] 	 Receive: 0


[2017-Aug-18 00:58:21.146289] 	 Send: TABLe:COUPled OFF


[2017-Aug-18 00:58:21.147497] 	 Receive: 0


[2017-Aug-18 00:58:21.147758] 	 Send: GPRF


[2017-Aug-18 00:58:21.184778] 	 Receive: 0


[2017-Aug-18 00:58:21.184980] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-18 00:58:21.193457] 	 Receive: 0


[2017-Aug-18 00:58:21.193705] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-18 00:58:21.194388] 	 Receive: 0


[2017-Aug-18 00:58:21.194554] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-18 00:58:21.194554] 	 Send: CONFigure:GPRF:SPE[2017-Aug-18 00:58:21.195396] 	 Receive: 0


[2017-Aug-18 00:58:21.195588] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-18 00:58:21.196408] 	 Receive: 5


[2017-Aug-18 00:58:21.196687] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-18 00:58:21.198065] 	 Receive: 0


[2017-Aug-18 00:58:21.198317] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-18 00[2017-Aug-18 00:58:21.203793] 	 Receive: 0


[2017-Aug-18 00:58:21.203944] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-18 00:58:21.206779] 	 Receive: 0


[2017-Aug-18 00:58:21.206928] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-18 00:58:21.207373] 	 Receive: 0


[2017-Aug-18 00:58:21.207519] 	 Send: INPut:STARt


[2017-Aug-18 00:58:21.208371] 	 Receive: 0


[2017-Aug-18 00:58:21.208519] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-18 00:58:21.209502] 	 Receive: 0


[2017-Aug-18 00:58:21.209977] 	 Send: OUTPut:STOP


[2017-Aug-18 00:58:21.212554] 	 Receive: 0


[2017-Aug-18 00:58:21.212944] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-18 00:58:21.214997] 	 Receive: 0


[2017-Aug-18 00:58:21.215164] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-18 00:58:21.217314] 	 Receive: 0


[2017-Aug-18 00:58:21.217483] 	 Send: CONFigure:RFCorrection:DISTribution OFF
[20[2017-Aug-18 00:58:21.218369] 	 Receive: 0


[2017-Aug-18 00:58:21.218520] 	 Send: TABLe:LOSS:PORT1:TX:LOAD 


[2017-Aug-18 00:58:21.219962] 	 Receive: 0


[2017-Aug-18 00:58:21.220109] 	 Send: TABLe:LOSS:PORT1:RX:LOAD 


[2017-Aug-18 00:58:21.221925] 	 Receive: 0


[2017-Aug-18 00:58:21.222072] 	 Send: TABLe:LOSS:PORT2:TX:LOAD 


[2017-Aug-18 00:58:21.223954] 	 Receive: 0


[2017-Aug-18 00:58:21.224100] 	 Send: TABLe:LOSS:PORT2:RX:LOAD 


[2017-Aug-18 00:58:21.225966] 	 Receive: 0


[2017-Aug-18 00:58:21.226249] 	 Send: TABLe:LOSS:PORT3:TX:LOAD 


[2017-Aug-18 00:58:21.228083] 	 Receive: 0


[2017-Aug-18 00:58:21.228350] 	 Send: TABLe:LOSS:PORT3:RX:LOAD 


[2017-Aug-18 00:58:21.229943] 	 Receive: 0


