[2017-Aug-18 00:34:41.899219] 	 open 2

[2017-Aug-18 00:34:41.899601] 	 open 

[2017-Aug-18 00:34:41.899761] 	 Send: INPut:STARt

[2017-Aug-18 00:34:50.531166] 	 Receive: 0


[2017-Aug-18 00:34:51.031602] 	 Send: TABLe:COUPled OFF


[2017-Aug-18 00:34:51.032552] 	 Receive: 0


[2017-Aug-18 00:34:51.032705] 	 Send: GPRF


[2017-Aug-18 00:34:51.039778] 	 Receive: 0


[2017-Aug-18 00:34:51.040099] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-18 00:34:51.048321] 	 Receive: 0


[2017-Aug-18 00:34:51.048503] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-18 00:34:51.049507] 	 Receive: 0


[2017-Aug-18 00:34:51.049659] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-18 00:34:51.049659] 	 Send: CONFigure:GPRF:SPE[2017-Aug-18 00:34:51.050486] 	 Receive: 0


[2017-Aug-18 00:34:51.050633] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-18 00:34:51.051497] 	 Receive: 5


[2017-Aug-18 00:34:51.051650] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-18 00:34:51.053036] 	 Receive: 0


[2017-Aug-18 00:34:51.053189] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-18 00[2017-Aug-18 00:34:51.058935] 	 Receive: 0


[2017-Aug-18 00:34:51.059160] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-18 00:34:51.063305] 	 Receive: 0


[2017-Aug-18 00:34:51.063467] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-18 00:34:51.064519] 	 Receive: 0


[2017-Aug-18 00:34:51.064667] 	 Send: INPut:STARt


[2017-Aug-18 00:34:51.065482] 	 Receive: 0


[2017-Aug-18 00:34:51.065630] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-18 00:34:51.066472] 	 Receive: 0


